Element,Bay,Storey,Direction,Position,b,h,coverNeg,coverPos,lp,length,phi1Neg,phi2Neg,phi3Neg,m1Neg,m2Neg,m3Neg,phi1,phi2,phi3,m1,m2,m3
Beam,1,1,0,external,0.4,0.6,0.03,0.03,0.3828,6.0,0.0048361040798095,0.0713842115730114,0.0768752200571039,178.91760060775874,180.0939647363864,3.1159255917643733,0.0054220177800811,0.0728158170989108,0.0759014811358389,293.0719113865461,294.8149704245775,2.60846142137698
Beam,3,1,0,external,0.4,0.6,0.03,0.03,0.3828,6.0,0.0048361040798095,0.0713842115730114,0.0768752200571039,178.91760060775874,180.0939647363864,3.1159255917643733,0.0054220177800811,0.0728158170989108,0.0759014811358389,293.0719113865461,294.8149704245775,2.60846142137698
Beam,2,1,0,internal,0.4,0.6,0.03,0.03,0.3828,4.5,0.0051618191812509,0.0707878195723616,0.0757349956698053,234.1954489291714,235.51966910364308,3.116148168645246,0.0054299398442157,0.0720786576354075,0.0756512639651121,307.23665251218443,308.8190115098179,2.858867539824168
Beam,1,2,0,external,0.4,0.6,0.03,0.03,0.3828,6.0,0.0047025107634834,0.0710153136177042,0.0766814040946947,149.48450049976992,150.55776237434992,3.0471631463908158,0.0057482193500633,0.0721066802261128,0.075142746206851,270.31795868541724,272.1151473227426,2.412713654656887
Beam,3,2,0,external,0.4,0.6,0.03,0.03,0.3828,6.0,0.0047025107634834,0.0710153136177042,0.0766814040946947,149.48450049976992,150.55776237434992,3.0471631463908158,0.0057482193500633,0.0721066802261128,0.075142746206851,270.31795868541724,272.1151473227426,2.412713654656887
Beam,2,2,0,internal,0.4,0.6,0.03,0.03,0.3828,4.5,0.0057066030522966,0.0705787958754998,0.0756226708205457,209.76336001226372,211.04394711049557,3.041738928508771,0.0058726896798227,0.0724517524871428,0.0761890378670086,280.4339573011261,282.0230682820327,2.775449332752821
Beam,1,3,0,external,0.35,0.55,0.03,0.03,0.3828,6.0,0.0058148548083139,0.0774764164279543,0.0830621826624828,102.12051128137772,103.02420339759868,2.1611957515059643,0.0057032272171164,0.0773165055249897,0.08274531991492,102.11887800238352,103.02653359814389,2.0255317120848595
Beam,3,3,0,external,0.35,0.55,0.03,0.03,0.3828,6.0,0.0058148548083139,0.0774764164279543,0.0830621826624828,102.12051128137772,103.02420339759868,2.1611957515059643,0.0057032272171164,0.0773165055249897,0.08274531991492,102.11887800238352,103.02653359814389,2.0255317120848595
Beam,2,3,0,internal,0.35,0.55,0.03,0.03,0.3828,4.5,0.0057880387223533,0.0776053496361423,0.0833870518630663,140.20528167705754,141.24066180024866,2.7892128563222407,0.0060393160058055,0.0795076106079037,0.0830496878587233,211.08244642057497,212.5273167375808,2.425641500379424
Beam,1,4,0,external,0.35,0.55,0.03,0.03,0.3828,6.0,0.005156591856905,0.0779823830472238,0.084076612817625,102.12437833944436,103.01676844361036,2.576617655027736,0.0056880611485675,0.0789253161781713,0.0824870712127317,159.6812673124212,161.11749476590384,1.8108750258115016
Beam,3,4,0,external,0.35,0.55,0.03,0.03,0.3828,6.0,0.005156591856905,0.0779823830472238,0.084076612817625,102.12437833944436,103.01676844361036,2.576617655027736,0.0056880611485675,0.0789253161781713,0.0824870712127317,159.6812673124212,161.11749476590384,1.8108750258115016
Beam,2,4,0,internal,0.35,0.55,0.03,0.03,0.3828,4.5,0.0062520386601958,0.077923034979001,0.0839564202631069,102.12401418982908,103.01764615303512,2.5292976304716,0.0061073100519125,0.0789006923892063,0.0830070865090212,151.28981621161438,152.59838806590218,1.9494751544284408
Beam,1,5,0,external,0.35,0.55,0.03,0.03,0.3828,6.0,0.0058148548083139,0.0774764164279543,0.0830621826624828,102.12051128137772,103.02420339759868,2.1611957515059643,0.0054372853912624,0.0768018053991295,0.0817291907803883,102.11188820152287,103.03395331621113,1.5795740092352697
Beam,3,5,0,external,0.35,0.55,0.03,0.03,0.3828,6.0,0.0058148548083139,0.0774764164279543,0.0830621826624828,102.12051128137772,103.02420339759868,2.1611957515059643,0.0054372853912624,0.0768018053991295,0.0817291907803883,102.11188820152287,103.03395331621113,1.5795740092352697
Beam,2,5,0,internal,0.35,0.55,0.03,0.03,0.3828,4.5,0.0058148548083139,0.0774764164279543,0.0830621826624828,102.12051128137772,103.02420339759868,2.1611957515059643,0.0062446871230398,0.0780569672897786,0.0825188331095609,102.09953457569748,103.04337979945949,1.0736020533483206
Column,1,1,0,external,0.4,0.4,0.03,0.03,0.4074,4.5,0.0107925661233409,0.1488951162164095,0.1503840673785736,219.8049566051731,230.749541292584,131.2207895246392,0.0107925661233409,0.1488951162164095,0.1503840673785736,219.8049566051731,230.749541292584,131.2207895246392
Column,4,1,0,external,0.4,0.4,0.03,0.03,0.4074,4.5,0.0107925661233409,0.1488951162164095,0.1503840673785736,219.8049566051731,230.749541292584,131.2207895246392,0.0107925661233409,0.1488951162164095,0.1503840673785736,219.8049566051731,230.749541292584,131.2207895246392
Column,2,1,0,internal,0.45,0.45,0.03,0.03,0.4074,4.5,0.0098277447187965,0.1274260440905574,0.128700304531463,380.986532917739,400.50674194986055,205.7476043814321,0.0098277447187965,0.1274260440905574,0.128700304531463,380.986532917739,400.50674194986055,205.7476043814321
Column,3,1,0,internal,0.45,0.45,0.03,0.03,0.4074,4.5,0.0098277447187965,0.1274260440905574,0.128700304531463,380.986532917739,400.50674194986055,205.7476043814321,0.0098277447187965,0.1274260440905574,0.128700304531463,380.986532917739,400.50674194986055,205.7476043814321
Column,1,2,0,external,0.4,0.4,0.03,0.03,0.3828,3.5,0.0105464372427591,0.1347422612891654,0.1360896839020571,188.39492959664196,194.07222004754036,105.4817619880489,0.0105464372427591,0.1347422612891654,0.1360896839020571,188.39492959664196,194.07222004754036,105.4817619880489
Column,4,2,0,external,0.4,0.4,0.03,0.03,0.3828,3.5,0.0105464372427591,0.1347422612891654,0.1360896839020571,188.39492959664196,194.07222004754036,105.4817619880489,0.0105464372427591,0.1347422612891654,0.1360896839020571,188.39492959664196,194.07222004754036,105.4817619880489
Column,2,2,0,internal,0.45,0.45,0.03,0.03,0.3828,3.5,0.0098126010621155,0.1284435654678275,0.1297280011225058,399.41460015061074,414.3767496733318,188.20613647814832,0.0098126010621155,0.1284435654678275,0.1297280011225058,399.41460015061074,414.3767496733318,188.20613647814832
Column,3,2,0,internal,0.45,0.45,0.03,0.03,0.3828,3.5,0.0098126010621155,0.1284435654678275,0.1297280011225058,399.41460015061074,414.3767496733318,188.20613647814832,0.0098126010621155,0.1284435654678275,0.1297280011225058,399.41460015061074,414.3767496733318,188.20613647814832
Column,1,3,0,external,0.35,0.35,0.03,0.03,0.3828,3.5,0.0127872660490654,0.161588078411357,0.1632039591954706,163.0184166944005,166.90625033818404,76.05828243765353,0.0127872660490654,0.161588078411357,0.1632039591954706,163.0184166944005,166.90625033818404,76.05828243765353
Column,4,3,0,external,0.35,0.35,0.03,0.03,0.3828,3.5,0.0127872660490654,0.161588078411357,0.1632039591954706,163.0184166944005,166.90625033818404,76.05828243765353,0.0127872660490654,0.161588078411357,0.1632039591954706,163.0184166944005,166.90625033818404,76.05828243765353
Column,2,3,0,internal,0.4,0.4,0.03,0.03,0.3828,3.5,0.0117052284756437,0.151062981022029,0.1525736108322493,333.82001358950413,345.666833328554,140.35145923968315,0.0117052284756437,0.151062981022029,0.1525736108322493,333.82001358950413,345.666833328554,140.35145923968315
Column,3,3,0,internal,0.4,0.4,0.03,0.03,0.3828,3.5,0.0117052284756437,0.151062981022029,0.1525736108322493,333.82001358950413,345.666833328554,140.35145923968315,0.0117052284756437,0.151062981022029,0.1525736108322493,333.82001358950413,345.666833328554,140.35145923968315
Column,1,4,0,external,0.35,0.35,0.03,0.03,0.3828,3.5,0.0117520861089046,0.142862611416548,0.1465708153040158,115.47868774686847,117.42188271657642,49.89998799157231,0.0117520861089046,0.142862611416548,0.1465708153040158,115.47868774686847,117.42188271657642,49.89998799157231
Column,4,4,0,external,0.35,0.35,0.03,0.03,0.3828,3.5,0.0117520861089046,0.142862611416548,0.1465708153040158,115.47868774686847,117.42188271657642,49.89998799157231,0.0117520861089046,0.142862611416548,0.1465708153040158,115.47868774686847,117.42188271657642,49.89998799157231
Column,2,4,0,internal,0.4,0.4,0.03,0.03,0.3828,3.5,0.0111245377583326,0.1289429553318056,0.1302323848851237,231.4835231775828,234.2854420009208,91.46870166790586,0.0111245377583326,0.1289429553318056,0.1302323848851237,231.4835231775828,234.2854420009208,91.46870166790586
Column,3,4,0,internal,0.4,0.4,0.03,0.03,0.3828,3.5,0.0111245377583326,0.1289429553318056,0.1302323848851237,231.4835231775828,234.2854420009208,91.46870166790586,0.0111245377583326,0.1289429553318056,0.1302323848851237,231.4835231775828,234.2854420009208,91.46870166790586
Column,1,5,0,external,0.35,0.35,0.03,0.03,0.3828,3.5,0.0111644231262785,0.1362241670550802,0.1440792037671587,92.10695975927908,93.69517276670985,32.57949842213722,0.0111644231262785,0.1362241670550802,0.1440792037671587,92.10695975927908,93.69517276670985,32.57949842213722
Column,4,5,0,external,0.35,0.35,0.03,0.03,0.3828,3.5,0.0111644231262785,0.1362241670550802,0.1440792037671587,92.10695975927908,93.69517276670985,32.57949842213722,0.0111644231262785,0.1362241670550802,0.1440792037671587,92.10695975927908,93.69517276670985,32.57949842213722
Column,2,5,0,internal,0.4,0.4,0.03,0.03,0.3828,3.5,0.0103040320503194,0.1174792452064884,0.1237318419818117,172.77888540366354,174.65960808893703,58.590021790052646,0.0103040320503194,0.1174792452064884,0.1237318419818117,172.77888540366354,174.65960808893703,58.590021790052646
Column,3,5,0,internal,0.4,0.4,0.03,0.03,0.3828,3.5,0.0103040320503194,0.1174792452064884,0.1237318419818117,172.77888540366354,174.65960808893703,58.590021790052646,0.0103040320503194,0.1174792452064884,0.1237318419818117,172.77888540366354,174.65960808893703,58.590021790052646
